Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
4174   X = 875 mm; Y = 20 mm; Amplitude = 0.00298238; Faza = -41.0418 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4175   X = 875 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4176   X = 875 mm; Y = 20 mm; Amplitude = 0.00112749; Faza = -250.584 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4177   X = 877 mm; Y = 20 mm; Amplitude = 0.00311568; Faza = -61.4177 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4178   X = 877 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4179   X = 877 mm; Y = 20 mm; Amplitude = 0.00117942; Faza = 88.5314 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4180   X = 879 mm; Y = 20 mm; Amplitude = 0.00321026; Faza = -80.3648 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4181   X = 879 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4182   X = 879 mm; Y = 20 mm; Amplitude = 0.00122079; Faza = 69.3027 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4183   X = 881 mm; Y = 20 mm; Amplitude = 0.00322491; Faza = -98.7467 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4184   X = 881 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4185   X = 881 mm; Y = 20 mm; Amplitude = 0.00123201; Faza = 50.9099 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4186   X = 883 mm; Y = 20 mm; Amplitude = 0.00315651; Faza = -117.582 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4187   X = 883 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4188   X = 883 mm; Y = 20 mm; Amplitude = 0.00120803; Faza = 32.2833 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4189   X = 885 mm; Y = 20 mm; Amplitude = 0.00304077; Faza = -137.76 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4190   X = 885 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4191   X = 885 mm; Y = 20 mm; Amplitude = 0.00115977; Faza = 12.4015 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4192   X = 887 mm; Y = 20 mm; Amplitude = 0.00294014; Faza = -159.653 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4193   X = 887 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4194   X = 887 mm; Y = 20 mm; Amplitude = 0.00111098; Faza = -9.35224 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4195   X = 889 mm; Y = 20 mm; Amplitude = 0.00291388; Faza = 177.322 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4196   X = 889 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4197   X = 889 mm; Y = 20 mm; Amplitude = 0.00108814; Faza = -32.6564 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4198   X = 891 mm; Y = 20 mm; Amplitude = 0.0029801; Faza = 154.546 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4199   X = 891 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4200   X = 891 mm; Y = 20 mm; Amplitude = 0.00110442; Faza = -56.1209 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4201   X = 893 mm; Y = 20 mm; Amplitude = 0.00310187; Faza = 133.178 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4202   X = 893 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4203   X = 893 mm; Y = 20 mm; Amplitude = 0.00114969; Faza = -78.2648 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4204   X = 895 mm; Y = 20 mm; Amplitude = 0.00321468; Faza = 113.398 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4205   X = 895 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4206   X = 895 mm; Y = 20 mm; Amplitude = 0.00119848; Faza = -98.6087 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4207   X = 897 mm; Y = 20 mm; Amplitude = 0.00326434; Faza = 94.5791 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4208   X = 897 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4209   X = 897 mm; Y = 20 mm; Amplitude = 0.00122642; Faza = -117.68 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4210   X = 899 mm; Y = 20 mm; Amplitude = 0.00323011; Faza = 75.7507 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4211   X = 899 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4212   X = 899 mm; Y = 20 mm; Amplitude = 0.00122134; Faza = -136.476 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4213   X = 901 mm; Y = 20 mm; Amplitude = 0.00313145; Faza = 55.9496 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4214   X = 901 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4215   X = 901 mm; Y = 20 mm; Amplitude = 0.00118709; Faza = -156.056 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4216   X = 903 mm; Y = 20 mm; Amplitude = 0.00302184; Faza = 34.5478 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4217   X = 903 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4218   X = 903 mm; Y = 20 mm; Amplitude = 0.00114228; Faza = -177.219 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4219   X = 905 mm; Y = 20 mm; Amplitude = 0.00296589; Faza = 11.7174 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4220   X = 905 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4221   X = 905 mm; Y = 20 mm; Amplitude = 0.00111286; Faza = -200.039 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4222   X = 907 mm; Y = 20 mm; Amplitude = 0.00300139; Faza = -11.4146 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4223   X = 907 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4224   X = 907 mm; Y = 20 mm; Amplitude = 0.00111793; Faza = -223.529 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4225   X = 909 mm; Y = 20 mm; Amplitude = 0.00311185; Faza = -33.4992 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4226   X = 909 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4227   X = 909 mm; Y = 20 mm; Amplitude = 0.00115608; Faza = -246.199 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4228   X = 911 mm; Y = 20 mm; Amplitude = 0.00323851; Faza = -53.9664 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4229   X = 911 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4230   X = 911 mm; Y = 20 mm; Amplitude = 0.00120661; Faza = -267.214 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4231   X = 913 mm; Y = 20 mm; Amplitude = 0.00331912; Faza = -73.1819 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4232   X = 913 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4233   X = 913 mm; Y = 20 mm; Amplitude = 0.00124409; Faza = 73.2159 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4234   X = 915 mm; Y = 20 mm; Amplitude = 0.00331795; Faza = -92.0274 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4235   X = 915 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4236   X = 915 mm; Y = 20 mm; Amplitude = 0.00125187; Faza = 54.2375 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4237   X = 917 mm; Y = 20 mm; Amplitude = 0.00323921; Faza = -111.504 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4238   X = 917 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4239   X = 917 mm; Y = 20 mm; Amplitude = 0.00122853; Faza = 34.8153 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4240   X = 919 mm; Y = 20 mm; Amplitude = 0.00312605; Faza = -132.416 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4241   X = 919 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4242   X = 919 mm; Y = 20 mm; Amplitude = 0.00118838; Faza = 14.0646 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4243   X = 921 mm; Y = 20 mm; Amplitude = 0.00304482; Faza = -154.949 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4244   X = 921 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4245   X = 921 mm; Y = 20 mm; Amplitude = 0.0011562; Faza = -8.32911 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4246   X = 923 mm; Y = 20 mm; Amplitude = 0.00305; Faza = -178.284 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4247   X = 923 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4248   X = 923 mm; Y = 20 mm; Amplitude = 0.0011547; Faza = -31.6825 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4249   X = 925 mm; Y = 20 mm; Amplitude = 0.00314701; Faza = 159.002 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4250   X = 925 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4251   X = 925 mm; Y = 20 mm; Amplitude = 0.00118901; Faza = -54.5766 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4252   X = 927 mm; Y = 20 mm; Amplitude = 0.00328737; Faza = 137.863 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4253   X = 927 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4254   X = 927 mm; Y = 20 mm; Amplitude = 0.00124262; Faza = -75.9328 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4255   X = 929 mm; Y = 20 mm; Amplitude = 0.00340273; Faza = 118.251 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4256   X = 929 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4257   X = 929 mm; Y = 20 mm; Amplitude = 0.00128911; Faza = -95.6841 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4258   X = 931 mm; Y = 20 mm; Amplitude = 0.00344211; Faza = 99.4266 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4259   X = 931 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4260   X = 931 mm; Y = 20 mm; Amplitude = 0.00130729; Faza = -114.533 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4261   X = 933 mm; Y = 20 mm; Amplitude = 0.0033918; Faza = 80.3926 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4262   X = 933 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4263   X = 933 mm; Y = 20 mm; Amplitude = 0.00128998; Faza = -133.493 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4264   X = 935 mm; Y = 20 mm; Amplitude = 0.00328016; Faza = 60.2148 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4265   X = 935 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4266   X = 935 mm; Y = 20 mm; Amplitude = 0.00124668; Faza = -153.558 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4267   X = 937 mm; Y = 20 mm; Amplitude = 0.00316869; Faza = 38.3637 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4268   X = 937 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4269   X = 937 mm; Y = 20 mm; Amplitude = 0.00120085; Faza = -175.356 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4270   X = 939 mm; Y = 20 mm; Amplitude = 0.00312508; Faza = 15.1843 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4271   X = 939 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4272   X = 939 mm; Y = 20 mm; Amplitude = 0.00118012; Faza = -198.63 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4273   X = 941 mm; Y = 20 mm; Amplitude = 0.00318181; Faza = -8.05736 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4274   X = 941 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4275   X = 941 mm; Y = 20 mm; Amplitude = 0.00119951; Faza = -222.086 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4276   X = 943 mm; Y = 20 mm; Amplitude = 0.00331219; Faza = -30.053 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4277   X = 943 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4278   X = 943 mm; Y = 20 mm; Amplitude = 0.00124994; Faza = -244.27 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4279   X = 945 mm; Y = 20 mm; Amplitude = 0.00344988; Faza = -50.3793 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4280   X = 945 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4281   X = 945 mm; Y = 20 mm; Amplitude = 0.00130487; Faza = -264.645 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4282   X = 947 mm; Y = 20 mm; Amplitude = 0.00353053; Faza = -69.508 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4283   X = 947 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4284   X = 947 mm; Y = 20 mm; Amplitude = 0.00133726; Faza = 76.3304 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4285   X = 949 mm; Y = 20 mm; Amplitude = 0.00352054; Faza = -88.3498 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4286   X = 949 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4287   X = 949 mm; Y = 20 mm; Amplitude = 0.00133192; Faza = 57.6913 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4288   X = 951 mm; Y = 20 mm; Amplitude = 0.0034283; Faza = -107.89 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4289   X = 951 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4290   X = 951 mm; Y = 20 mm; Amplitude = 0.00129071; Faza = 38.3466 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4291   X = 953 mm; Y = 20 mm; Amplitude = 0.00330153; Faza = -128.896 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4292   X = 953 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4293   X = 953 mm; Y = 20 mm; Amplitude = 0.00123247; Faza = 17.3646 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4294   X = 955 mm; Y = 20 mm; Amplitude = 0.00320943; Faza = -151.51 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4295   X = 955 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4296   X = 955 mm; Y = 20 mm; Amplitude = 0.00118696; Faza = -5.56266 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4297   X = 957 mm; Y = 20 mm; Amplitude = 0.00320663; Faza = -174.909 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4298   X = 957 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4299   X = 957 mm; Y = 20 mm; Amplitude = 0.00118025; Faza = -29.5847 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4300   X = 959 mm; Y = 20 mm; Amplitude = 0.0032965; Faza = 162.286 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4301   X = 959 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4302   X = 959 mm; Y = 20 mm; Amplitude = 0.00121655; Faza = -53.01 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4303   X = 961 mm; Y = 20 mm; Amplitude = 0.00342883; Faza = 140.98 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4304   X = 961 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4305   X = 961 mm; Y = 20 mm; Amplitude = 0.0012747; Faza = -74.628 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4306   X = 963 mm; Y = 20 mm; Amplitude = 0.0035352; Faza = 121.114 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4307   X = 963 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4308   X = 963 mm; Y = 20 mm; Amplitude = 0.00132352; Faza = -94.4306 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4309   X = 965 mm; Y = 20 mm; Amplitude = 0.00356624; Faza = 101.969 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4310   X = 965 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4311   X = 965 mm; Y = 20 mm; Amplitude = 0.00133907; Faza = -113.237 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4312   X = 967 mm; Y = 20 mm; Amplitude = 0.00351056; Faza = 82.598 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4313   X = 967 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4314   X = 967 mm; Y = 20 mm; Amplitude = 0.00131343; Faza = -132.165 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4315   X = 969 mm; Y = 20 mm; Amplitude = 0.00339792; Faza = 62.1398 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4316   X = 969 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4317   X = 969 mm; Y = 20 mm; Amplitude = 0.00125703; Faza = -152.341 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4318   X = 971 mm; Y = 20 mm; Amplitude = 0.00328811; Faza = 40.1544 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4319   X = 971 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4320   X = 971 mm; Y = 20 mm; Amplitude = 0.00119627; Faza = -174.557 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4321   X = 973 mm; Y = 20 mm; Amplitude = 0.003243; Faza = 17.0127 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4322   X = 973 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4323   X = 973 mm; Y = 20 mm; Amplitude = 0.00116389; Faza = -198.67 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4324   X = 975 mm; Y = 20 mm; Amplitude = 0.00328882; Faza = -6.1438 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4325   X = 975 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4326   X = 975 mm; Y = 20 mm; Amplitude = 0.00118016; Faza = -223.224 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4327   X = 977 mm; Y = 20 mm; Amplitude = 0.00339772; Faza = -28.1979 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4328   X = 977 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4329   X = 977 mm; Y = 20 mm; Amplitude = 0.00123748; Faza = -246.394 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4330   X = 979 mm; Y = 20 mm; Amplitude = 0.00350838; Faza = -48.8207 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4331   X = 979 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4332   X = 979 mm; Y = 20 mm; Amplitude = 0.00130639; Faza = -267.4 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4333   X = 981 mm; Y = 20 mm; Amplitude = 0.00356394; Faza = -68.4635 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4334   X = 981 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4335   X = 981 mm; Y = 20 mm; Amplitude = 0.00135506; Faza = 73.3267 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4336   X = 983 mm; Y = 20 mm; Amplitude = 0.00353745; Faza = -87.9659 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4337   X = 983 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4338   X = 983 mm; Y = 20 mm; Amplitude = 0.00136354; Faza = 54.7658 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4339   X = 21 mm; Y = 984 mm; Amplitude = 0.000208168; Faza = -158.398 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4340   X = 21 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4341   X = 21 mm; Y = 984 mm; Amplitude = 0.00017058; Faza = -164.387 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4342   X = 23 mm; Y = 984 mm; Amplitude = 0.000231667; Faza = -150.36 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4343   X = 23 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4344   X = 23 mm; Y = 984 mm; Amplitude = 0.000197625; Faza = -157.608 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4345   X = 25 mm; Y = 984 mm; Amplitude = 0.000250229; Faza = -143.871 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4346   X = 25 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4347   X = 25 mm; Y = 984 mm; Amplitude = 0.000222416; Faza = -151.85 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4348   X = 27 mm; Y = 984 mm; Amplitude = 0.000263065; Faza = -138.797 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4349   X = 27 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4350   X = 27 mm; Y = 984 mm; Amplitude = 0.000243772; Faza = -146.998 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4351   X = 29 mm; Y = 984 mm; Amplitude = 0.000270129; Faza = -135.134 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4352   X = 29 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4353   X = 29 mm; Y = 984 mm; Amplitude = 0.000260916; Faza = -143.014 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4354   X = 31 mm; Y = 984 mm; Amplitude = 0.00027226; Faza = -132.977 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4355   X = 31 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4356   X = 31 mm; Y = 984 mm; Amplitude = 0.000273516; Faza = -139.921 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
4357   X = 33 mm; Y = 984 mm; Amplitude = 0.000271253; Faza = -132.451 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
4358   X = 33 mm; Y = 984 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
4359   X = 33 mm; Y = 984 mm; Amplitude = 0.000281772; Faza = -137.786 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
