Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5918   X = 211.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5919   X = 211.5 mm; Y = 294.6 mm; Amplitude = 0.00215025; Faza = -161.549 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5920   X = 212.1 mm; Y = 294.6 mm; Amplitude = 0.00621036; Faza = -115.537 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5921   X = 212.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5922   X = 212.1 mm; Y = 294.6 mm; Amplitude = 0.00241176; Faza = -142.601 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5923   X = 212.7 mm; Y = 294.6 mm; Amplitude = 0.0060398; Faza = -96.4126 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5924   X = 212.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5925   X = 212.7 mm; Y = 294.6 mm; Amplitude = 0.00248582; Faza = -125.754 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5926   X = 213.3 mm; Y = 294.6 mm; Amplitude = 0.00555274; Faza = -75.2475 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5927   X = 213.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5928   X = 213.3 mm; Y = 294.6 mm; Amplitude = 0.00234987; Faza = -108.492 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5929   X = 213.9 mm; Y = 294.6 mm; Amplitude = 0.00496618; Faza = -49.9313 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5930   X = 213.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5931   X = 213.9 mm; Y = 294.6 mm; Amplitude = 0.00204807; Faza = -88.0869 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5932   X = 214.5 mm; Y = 294.6 mm; Amplitude = 0.00461265; Faza = -19.6538 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5933   X = 214.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5934   X = 214.5 mm; Y = 294.6 mm; Amplitude = 0.00170795; Faza = -60.6894 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5935   X = 215.1 mm; Y = 294.6 mm; Amplitude = 0.00475432; Faza = 12.1654 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5936   X = 215.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5937   X = 215.1 mm; Y = 294.6 mm; Amplitude = 0.00155608; Faza = -24.2506 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5938   X = 215.7 mm; Y = 294.6 mm; Amplitude = 0.00531441; Faza = 40.2019 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5939   X = 215.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5940   X = 215.7 mm; Y = 294.6 mm; Amplitude = 0.0017546; Faza = 12.0737 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5941   X = 216.3 mm; Y = 294.6 mm; Amplitude = 0.00596964; Faza = 63.143 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5942   X = 216.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5943   X = 216.3 mm; Y = 294.6 mm; Amplitude = 0.0021655; Faza = 38.9936 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5944   X = 216.9 mm; Y = 294.6 mm; Amplitude = 0.00642384; Faza = 82.6288 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5945   X = 216.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5946   X = 216.9 mm; Y = 294.6 mm; Amplitude = 0.00255873; Faza = 58.4192 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5947   X = 217.5 mm; Y = 294.6 mm; Amplitude = 0.00650474; Faza = 100.637 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5948   X = 217.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5949   X = 217.5 mm; Y = 294.6 mm; Amplitude = 0.00278531; Faza = 74.0633 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5950   X = 218.1 mm; Y = 294.6 mm; Amplitude = 0.00616648; Faza = 119.004 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5951   X = 218.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5952   X = 218.1 mm; Y = 294.6 mm; Amplitude = 0.00277064; Faza = 88.3745 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5953   X = 218.7 mm; Y = 294.6 mm; Amplitude = 0.00549351; Faza = 139.834 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5954   X = 218.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5955   X = 218.7 mm; Y = 294.6 mm; Amplitude = 0.00249993; Faza = -256.64 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5956   X = 219.3 mm; Y = 294.6 mm; Amplitude = 0.0047283; Faza = 165.85 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5957   X = 219.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5958   X = 219.3 mm; Y = 294.6 mm; Amplitude = 0.00202246; Faza = -238.051 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5959   X = 219.9 mm; Y = 294.6 mm; Amplitude = 0.00428536; Faza = -161.337 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5960   X = 219.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5961   X = 219.9 mm; Y = 294.6 mm; Amplitude = 0.00149059; Faza = -209.458 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5962   X = 220.5 mm; Y = 294.6 mm; Amplitude = 0.00451925; Faza = -126.694 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5963   X = 220.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5964   X = 220.5 mm; Y = 294.6 mm; Amplitude = 0.00126362; Faza = -163.389 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5965   X = 221.1 mm; Y = 294.6 mm; Amplitude = 0.00529188; Faza = -98.0055 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5966   X = 221.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5967   X = 221.1 mm; Y = 294.6 mm; Amplitude = 0.00161758; Faza = -120.481 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5968   X = 221.7 mm; Y = 294.6 mm; Amplitude = 0.00615551; Faza = -76.0351 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5969   X = 221.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5970   X = 221.7 mm; Y = 294.6 mm; Amplitude = 0.00221314; Faza = -95.1105 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5971   X = 222.3 mm; Y = 294.6 mm; Amplitude = 0.00675005; Faza = -58.077 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5972   X = 222.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5973   X = 222.3 mm; Y = 294.6 mm; Amplitude = 0.00272419; Faza = -78.514 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5974   X = 222.9 mm; Y = 294.6 mm; Amplitude = 0.00687915; Faza = -41.7274 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5975   X = 222.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5976   X = 222.9 mm; Y = 294.6 mm; Amplitude = 0.00300133; Faza = -65.2503 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5977   X = 223.5 mm; Y = 294.6 mm; Amplitude = 0.00649256; Faza = -24.9992 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5978   X = 223.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5979   X = 223.5 mm; Y = 294.6 mm; Amplitude = 0.00298344; Faza = -52.7914 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5980   X = 224.1 mm; Y = 294.6 mm; Amplitude = 0.00568931; Faza = -5.60282 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5981   X = 224.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5982   X = 224.1 mm; Y = 294.6 mm; Amplitude = 0.00267382; Faza = -39.2272 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5983   X = 224.7 mm; Y = 294.6 mm; Amplitude = 0.0047551; Faza = 19.7244 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5984   X = 224.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5985   X = 224.7 mm; Y = 294.6 mm; Amplitude = 0.00214389; Faza = -21.7081 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5986   X = 225.3 mm; Y = 294.6 mm; Amplitude = 0.00419753; Faza = 53.4246 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5987   X = 225.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5988   X = 225.3 mm; Y = 294.6 mm; Amplitude = 0.00156915; Faza = 5.971 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5989   X = 225.9 mm; Y = 294.6 mm; Amplitude = 0.00445418; Faza = 89.3544 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5990   X = 225.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5991   X = 225.9 mm; Y = 294.6 mm; Amplitude = 0.00131693; Faza = 50.6458 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5992   X = 226.5 mm; Y = 294.6 mm; Amplitude = 0.00530428; Faza = 117.864 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5993   X = 226.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5994   X = 226.5 mm; Y = 294.6 mm; Amplitude = 0.00163627; Faza = -267.415 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5995   X = 227.1 mm; Y = 294.6 mm; Amplitude = 0.00618992; Faza = 138.984 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5996   X = 227.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
5997   X = 227.1 mm; Y = 294.6 mm; Amplitude = 0.00217306; Faza = -242.003 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
5998   X = 227.7 mm; Y = 294.6 mm; Amplitude = 0.00672834; Faza = 156.283 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
5999   X = 227.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6000   X = 227.7 mm; Y = 294.6 mm; Amplitude = 0.002605; Faza = -224.817 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6001   X = 228.3 mm; Y = 294.6 mm; Amplitude = 0.00675464; Faza = 172.537 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6002   X = 228.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6003   X = 228.3 mm; Y = 294.6 mm; Amplitude = 0.00280174; Faza = -210.335 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6004   X = 228.9 mm; Y = 294.6 mm; Amplitude = 0.00628368; Faza = -169.983 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6005   X = 228.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6006   X = 228.9 mm; Y = 294.6 mm; Amplitude = 0.00273483; Faza = -195.707 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6007   X = 229.5 mm; Y = 294.6 mm; Amplitude = 0.00550704; Faza = -148.765 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6008   X = 229.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6009   X = 229.5 mm; Y = 294.6 mm; Amplitude = 0.00245242; Faza = -178.543 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6010   X = 230.1 mm; Y = 294.6 mm; Amplitude = 0.00480406; Faza = -121.313 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6011   X = 230.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6012   X = 230.1 mm; Y = 294.6 mm; Amplitude = 0.00208151; Faza = -155.925 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6013   X = 230.7 mm; Y = 294.6 mm; Amplitude = 0.00462746; Faza = -88.871 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6014   X = 230.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6015   X = 230.7 mm; Y = 294.6 mm; Amplitude = 0.0018262; Faza = -125.736 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6016   X = 231.3 mm; Y = 294.6 mm; Amplitude = 0.00507678; Faza = -58.7188 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6017   X = 231.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6018   X = 231.3 mm; Y = 294.6 mm; Amplitude = 0.00185595; Faza = -92.629 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6019   X = 231.9 mm; Y = 294.6 mm; Amplitude = 0.00576276; Faza = -34.9069 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6020   X = 231.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6021   X = 231.9 mm; Y = 294.6 mm; Amplitude = 0.0020979; Faza = -65.0975 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6022   X = 232.5 mm; Y = 294.6 mm; Amplitude = 0.00625489; Faza = -15.6607 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6023   X = 232.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6024   X = 232.5 mm; Y = 294.6 mm; Amplitude = 0.0023361; Faza = -44.0349 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6025   X = 233.1 mm; Y = 294.6 mm; Amplitude = 0.00632018; Faza = 1.8987 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6026   X = 233.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6027   X = 233.1 mm; Y = 294.6 mm; Amplitude = 0.00241924; Faza = -26.1758 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6028   X = 233.7 mm; Y = 294.6 mm; Amplitude = 0.00593345; Faza = 20.4265 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6029   X = 233.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6030   X = 233.7 mm; Y = 294.6 mm; Amplitude = 0.00229945; Faza = -8.22237 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6031   X = 234.3 mm; Y = 294.6 mm; Amplitude = 0.00527638; Faza = 42.7447 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6032   X = 234.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6033   X = 234.3 mm; Y = 294.6 mm; Amplitude = 0.00202864; Faza = 13.3136 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6034   X = 234.9 mm; Y = 294.6 mm; Amplitude = 0.00474369; Faza = 71.1799 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6035   X = 234.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6036   X = 234.9 mm; Y = 294.6 mm; Amplitude = 0.00177246; Faza = 42.1845 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6037   X = 235.5 mm; Y = 294.6 mm; Amplitude = 0.00477993; Faza = 103.288 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6038   X = 235.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6039   X = 235.5 mm; Y = 294.6 mm; Amplitude = 0.00177118; Faza = 76.9438 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6040   X = 236.1 mm; Y = 294.6 mm; Amplitude = 0.00541389; Faza = 131.571 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6041   X = 236.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6042   X = 236.1 mm; Y = 294.6 mm; Amplitude = 0.00208542; Faza = -252.796 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6043   X = 236.7 mm; Y = 294.6 mm; Amplitude = 0.00621866; Faza = 153.256 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6044   X = 236.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6045   X = 236.7 mm; Y = 294.6 mm; Amplitude = 0.00250905; Faza = -231.259 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6046   X = 237.3 mm; Y = 294.6 mm; Amplitude = 0.00676184; Faza = 170.476 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6047   X = 237.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6048   X = 237.3 mm; Y = 294.6 mm; Amplitude = 0.00282461; Faza = -215.448 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6049   X = 237.9 mm; Y = 294.6 mm; Amplitude = 0.00679329; Faza = -174.127 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6050   X = 237.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6051   X = 237.9 mm; Y = 294.6 mm; Amplitude = 0.00290109; Faza = -202.294 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6052   X = 238.5 mm; Y = 294.6 mm; Amplitude = 0.00625036; Faza = -158.115 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6053   X = 238.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6054   X = 238.5 mm; Y = 294.6 mm; Amplitude = 0.00268512; Faza = -189.513 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6055   X = 239.1 mm; Y = 294.6 mm; Amplitude = 0.00527002; Faza = -138.328 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6056   X = 239.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6057   X = 239.1 mm; Y = 294.6 mm; Amplitude = 0.00219715; Faza = -174.362 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6058   X = 239.7 mm; Y = 294.6 mm; Amplitude = 0.00426823; Faza = -109.813 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6059   X = 239.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6060   X = 239.7 mm; Y = 294.6 mm; Amplitude = 0.00155986; Faza = -150.613 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6061   X = 240.3 mm; Y = 294.6 mm; Amplitude = 0.00399281; Faza = -71.0538 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6062   X = 240.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6063   X = 240.3 mm; Y = 294.6 mm; Amplitude = 0.00115041; Faza = -104.247 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6064   X = 240.9 mm; Y = 294.6 mm; Amplitude = 0.00480318; Faza = -36.0402 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6065   X = 240.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6066   X = 240.9 mm; Y = 294.6 mm; Amplitude = 0.00150122; Faza = -53.8624 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6067   X = 241.5 mm; Y = 294.6 mm; Amplitude = 0.00607963; Faza = -12.5841 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6068   X = 241.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6069   X = 241.5 mm; Y = 294.6 mm; Amplitude = 0.002237; Faza = -28.0324 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6070   X = 242.1 mm; Y = 294.6 mm; Amplitude = 0.0071631; Faza = 3.78002 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6071   X = 242.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6072   X = 242.1 mm; Y = 294.6 mm; Amplitude = 0.00290272; Faza = -13.3859 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6073   X = 242.7 mm; Y = 294.6 mm; Amplitude = 0.00769358; Faza = 17.0528 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6074   X = 242.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6075   X = 242.7 mm; Y = 294.6 mm; Amplitude = 0.00331092; Faza = -2.65515 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6076   X = 243.3 mm; Y = 294.6 mm; Amplitude = 0.00752017; Faza = 29.6174 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6077   X = 243.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6078   X = 243.3 mm; Y = 294.6 mm; Amplitude = 0.00337675; Faza = 6.81856 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6079   X = 243.9 mm; Y = 294.6 mm; Amplitude = 0.00666105; Faza = 43.5702 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6080   X = 243.9 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6081   X = 243.9 mm; Y = 294.6 mm; Amplitude = 0.00308065; Faza = 16.609 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6082   X = 244.5 mm; Y = 294.6 mm; Amplitude = 0.0053229; Faza = 62.2176 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6083   X = 244.5 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6084   X = 244.5 mm; Y = 294.6 mm; Amplitude = 0.00246645; Faza = 28.7901 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6085   X = 245.1 mm; Y = 294.6 mm; Amplitude = 0.00402355; Faza = 92.1371 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6086   X = 245.1 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6087   X = 245.1 mm; Y = 294.6 mm; Amplitude = 0.00166398; Faza = 48.9249 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6088   X = 245.7 mm; Y = 294.6 mm; Amplitude = 0.00374132; Faza = 135.879 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6089   X = 245.7 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6090   X = 245.7 mm; Y = 294.6 mm; Amplitude = 0.00105814; Faza = -264.468 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
6091   X = 246.3 mm; Y = 294.6 mm; Amplitude = 0.00481291; Faza = 172.133 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; 1.
6092   X = 246.3 mm; Y = 294.6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; cos(f)
6093   X = 246.3 mm; Y = 294.6 mm; Amplitude = 0.00139507; Faza = -205.642 degree; FiMin = 0.001 degree; FiMax = 179.999 degree; sin(f)
